Category,Trait,Description,Visibility
Sociability,Approachable,"Easy to talk to, even for strangers.",public
Sociability,Extroverted,Draws energy from being around others.,public
Sociability,Friendly,Puts others at ease with a friendly demeanor.,public
Sociability,Gregarious,Seeks out company and thrives in a crowd.,public
Sociability,Introverted,Recharges alone rather than around others.,public
Sociability,Outgoing,Reaches out and starts conversations easily.,public
Sociability,Shy,Hesitant in unfamiliar social situations.,public
Sociability,Sociable,Enjoys spending time around other people.,public
Sociability,Timid,Holds back rather than risk confrontation or attention.,public
Temperament,Aggressive,Quick to threaten or attack.,public
Temperament,Brooding,Often withdrawn into {their} own mind; immersed in dark thoughts.,public
Temperament,Crazed,"Unhinged, prone to frightening outbursts.",public
Temperament,Easygoing,Rolls with things rather than making a fuss.,public
Temperament,Gentle,"Handles others, and their feelings, with a soft touch.",public
Temperament,Grumpy,Perpetually sour and hard to please.,public
Temperament,Irritable,Quick to snap at small annoyances.,public
Temperament,Mood swings,Swings sharply between emotional highs and lows.,public
Temperament,Overwhelmed,Struggles to cope when too much piles up at once.,public
Temperament,Patient,Stays calm and steady while others find {their} way.,public
Temperament,Poised,Stays composed and graceful under pressure.,public
Temperament,Relaxed,Rarely rattled; takes things in stride.,public
Temperament,Short-tempered,Anger flares fast and hard.,public
Temperament,Violent,"Looks for a fight, even over small things.",public
Candor,Authentic,Stays true to who {they} actually {are}.,private
Candor,Candid,"Speaks openly, without holding back {their} real thoughts.",private
Candor,Cryptic,"Speaks in riddles, rarely saying exactly what {they} mean{s}.",private
Candor,Earnest,Approaches things with heartfelt seriousness.,private
Candor,Enigmatic,Hard to read; keeps others guessing.,private
Candor,Fair,"Judges situations on {their} merits, not personal bias.",private
Candor,Frank,"Gets straight to the point, diplomacy be damned.",private
Candor,Genuine,Doesn't put on airs; what you see is real.,private
Candor,Honest,"Tells the truth, even when it's uncomfortable.",private
Candor,Impartial,Doesn't take sides or play favorites.,private
Candor,Manipulative,Manipulates and swindles others for personal gain.,private
Candor,Sincere,Means what {they} say{s}.,private
Candor,Sly,Gets what {they} want{s} through clever misdirection.,private
Candor,Sneaky,Moves and acts without being noticed.,private
Candor,Straightforward,"Says what {they} mean{s}, plainly and directly.",private
Candor,Truthful,Doesn't lie or mislead.,private
Candor,Untruthful,Lies as a matter of habit.,private
Candor,Upstanding,Holds {themself} to a high moral standard.,private
Initiative,Ambitious,Sets {their} sights high and works to get there.,public
Initiative,Anticipatory,Sees what's coming and prepares for it.,public
Initiative,Assertive,States {their} needs and opinions plainly.,public
Initiative,Decisive,Makes up {their} mind quickly and sticks with it.,public
Initiative,Determined,"Keeps pushing toward a goal, no matter the obstacle.",public
Initiative,Forward-thinking,Plans with an eye toward the future.,public
Initiative,Impulsive,Acts on instinct before thinking it through.,public
Initiative,Proactive,Takes action before being asked.,public
Initiative,Progressive,Favors new approaches over sticking with tradition.,public
Initiative,Purposeful,"Acts with clear intent, rarely aimless.",public
